 Ay     Gün   Yükleme   İndirme
Ocak    01    379.93    754.03
Ocak    02    342.51    964.05
Ocak    03    362.34    241.70
Ocak    04    92.052    393.77
Ocak    05    365.01    786.22
Ocak    06    237.15    338.83
Ocak    07    455.19    773.33
Ocak    08    192.02    510.11
Ocak    09    49.238    107.23
Ocak    10    50.939    825.45
Ocak    11    204.23    795.12
Ocak    12    155.59    783.54
Ocak    13    147.94    265.97
Ocak    14    338.88    394.51
Ocak    15    482.88    223.79
Ocak    16    252.23    748.01
Ocak    17    433.48    255.66
Ocak    18    343.23    624.98
Ocak    19    171.89    862.76
Ocak    20    455.76    149.41
Ocak    21    308.89    435.96
Ocak    22    166.93    566.67
Ocak    23    69.506    722.56
Ocak    24    487.36    281.34
Ocak    25    352.88    151.95
Ocak    26    13.697    186.54
Ocak    27    416.74    374.20
Ocak    28    429.26    200.43
Ocak    29    249.65    574.13
Ocak    30    225.03    508.72
Ocak    31    335.53    939.87
Subat    01    95.330    575.73
Subat    02    62.016    868.79
Subat    03    64.837    492.88
Subat    04    353.84    119.46
Subat    05    250.80    380.53
Subat    06    203.51    830.53
Subat    07    416.81    564.71
Subat    08    256.68    823.98
Subat    09    361.74    282.87
Subat    10    432.45    752.83
Subat    11    156.68    723.01
Subat    12    242.71    239.48
Subat    13    403.87    567.19
Subat    14    344.08    318.38
Subat    15    486.88    411.53
Subat    16    96.136    232.64
Subat    17    438.62    353.77
Subat    18    10.737    987.97
Subat    19    362.07    732.97
Subat    20    14.059    288.94
Subat    21    17.355    462.86
Subat    22    20.630    860.71
Subat    23    460.56    572.56
Subat    24    328.33    673.60
Subat    25    366.84    560.61
Subat    26    187.72    124.83
Subat    27    109.97    453.45
Subat    28    99.468    107.06
Subat    29    0.0012    0.0156  
Mart    01    456.79    877.93
Mart    02    132.74    896.55
Mart    03    113.15    483.69
Mart    04    25.893    176.72
Mart    05    357.06    130.61
Mart    06    45.223    484.11
Mart    07    371.28    172.13
Mart    08    322.00    777.09
Mart    09    246.83    692.53
Mart    10    302.80    462.55
Mart    11    99.888    322.48
Mart    12    29.682    920.51
Mart    13    381.90    462.59
Mart    14    470.24    966.71
Mart    15    399.84    209.66
Mart    16    485.72    736.68
Mart    17    493.24    299.21
Mart    18    300.32    277.04
Mart    19    327.36    662.42
Mart    20    148.16    420.36
Mart    21    332.87    418.46
Mart    22    393.55    456.61
Mart    23    222.66    477.53
Mart    24    82.791    925.58
Mart    25    48.147   771.49
Mart    26    166.87    335.14
Mart    27    496.71    424.28
Mart    28    944.74    777.06
Mart    29    383.96    200.99
Mart    30    360.49    602.91
Mart    31    124.69    717.53
Nisan    01    140.44    298.24
Nisan    02    454.67    872.83
Nisan    03    214.32    599.64
Nisan    04    246.97    729.04
Nisan    05    456.44    228.28
Nisan    06    35.868    724.47
Nisan    07    273.99    538.09
Nisan    08    65.538    718.58
Nisan    09    208.00    272.06
Nisan    10    222.37    751.80
